Company Code	Template Code	Year	Period Group	Company Code	Template Code	Year	Period Group	Period	Employee Code	First Name	Last Name	Discount	LifeInsurance	TFO	SALARY	OVERTIME	BONUS	OTHER EARNING	ANNUAL LEAVE	13 SALARY	TRAVELING	SOCIAL INS.	INCOME TAX	PROV. FUND	ADVANCES	OTHER DEDUCTIONS	PROV. F. LOAN	SPECIAL TAX	SOCIAL INS.	INDUSTRIAL	PROV. FUND	SOC. COHESION	UNEMPLOYMENT	SPECIAL TAX	Insurable	Monthly Units
COMP	TEMPGRP	YEAR	PERGRP	COMP	TEMPGRP	YEAR	PERGRP	PER	EMP	FIRSTNAME	LASTNAME	DIS	LI	TFO	E1	E3	E11	E14	E13	E6	E10	D7	D3	D5	D1	D12	D6	D13	C4	C1	C3	C5	C6	C9	INSU	UNITS
				01	1001	2014	201401	201401	001	THEODORA	PETROU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201402	001	THEODORA	PETROU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201402	002	IOANNIS	PAPADIMOS	25,00	0,00		3065,00	0,00	0,00	0,00	0,00	0,00	0,00	239,07	217,84	0,00	0,00	0,00	0,00	20,98	239,07	15,33	0,00	61,30	36,78	20,97		173,33
				01	1001	2014	201401	201403	001	THEODORA	PETROU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201403	002	IOANNIS	PAPADIMOS	25,00	0,00		3065,00	0,00	0,00	0,00	0,00	0,00	0,00	239,07	217,84	0,00	0,00	0,00	0,00	20,98	239,07	15,33	0,00	61,30	36,78	20,97		173,33
				01	1001	2014	201401	201404	001	THEODORA	PETROU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201404	002	IOANNIS	PAPADIMOS	25,00	0,00		3065,00	0,00	0,00	0,00	0,00	0,00	0,00	239,07	217,84	0,00	0,00	0,00	0,00	20,98	239,07	15,33	0,00	61,30	36,78	20,97		173,33
				01	1001	2014	201401	201404	005	ANDRI	CHRISTODOULOU	25,00	0,00		925,00	0,00	0,00	0,00	0,00	0,00	0,00	72,15	0,00	0,00	0,00	0,00	0,00	0,00	72,15	4,63	0,00	18,50	11,10	0,00		173,33
				01	1001	2014	201401	201405	001	THEODORA	PETROU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201405	002	IOANNIS	PAPADIMOS	25,00	0,00		3065,00	0,00	0,00	0,00	0,00	0,00	0,00	239,07	0,00	0,00	0,00	0,00	0,00	20,98	239,07	15,33	0,00	61,30	36,78	20,97		173,33
				01	1001	2014	201401	201405	005	ANDRI	CHRISTODOULOU	25,00	0,00		975,00	0,00	0,00	0,00	0,00	0,00	0,00	76,05	0,00	0,00	0,00	0,00	0,00	0,00	76,05	4,88	0,00	19,50	11,70	0,00		173,33
				01	1001	2014	201401	201406	001	THEODORA	PETROU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201406	002	IOANNIS	PAPADIMOS	25,00	0,00		2043,00	0,00	0,00	0,00	0,00	0,00	0,00	159,35	0,00	0,00	0,00	0,00	0,00	6,79	159,35	10,22	0,00	40,86	24,52	6,79		115,54
				01	1001	2014	201401	201406	003	ALIKI	YIANNAKOU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201406	005	ANDRI	CHRISTODOULOU	25,00	0,00		950,00	0,00	0,00	0,00	0,00	0,00	0,00	74,10	0,00	0,00	0,00	0,00	0,00	0,00	74,10	4,75	0,00	19,00	11,40	0,00		173,33
				01	1001	2014	201401	201407	001	THEODORA	PETROU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201407	003	ALIKI	YIANNAKOU	25,00	0,00		1100,00	0,00	0,00	0,00	0,00	0,00	0,00	85,80	0,00	0,00	0,00	0,00	0,00	0,00	85,80	5,50	0,00	22,00	13,20	0,00		173,33
				01	1001	2014	201401	201410	004	MARIOS	RAYIAS	40,00	47,50		2000,00	0,00	0,00	0,00	0,00	0,00	0,00	156,00	0,00	0,00	0,00	0,00	0,00	6,25	156,00	10,00	0,00	40,00	24,00	6,25		173,33
